INFO: Obtaining the 10 best outliers for parser ParisNLP (Paris) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                      |  Position  |
| ('sme_giella', 'pl_lfg', 'ar_padt', 'hr_set', 'el_gdt', 'nl_alpino', 'hi_hdtb', 'no_nynorsk', 'cs_pdt', 'cs_cac')                 |     4      |
| ('sme_giella', 'fro_srcmf', 'cs_cac', 'lv_lvtb', 'ru_syntagrus', 'grc_proiel', 'la_proiel', 'th_pud', 'cs_pdt', 'got_proiel')     |     4      |
| ('sk_snk', 'ga_idt', 'sr_set', 'sme_giella', 'fa_seraji', 'lv_lvtb', 'grc_perseus', 'ru_syntagrus', 'no_nynorsk', 'af_afribooms') |     4      |
| ('gl_ctg', 'ru_syntagrus', 'nl_alpino', 'no_bokmaal', 'no_nynorsk', 'hi_hdtb', 'ca_ancora', 'sme_giella', 'pl_lfg', 'fa_seraji')  |     4      |
| ('ru_syntagrus', 'hi_hdtb', 'gl_ctg', 'no_bokmaal', 'hr_set', 'vi_vtb', 'ar_padt', 'sr_set', 'cs_cac', 'sme_giella')              |     4      |
| ('cs_cac', 'de_gsd', 'ar_padt', 'nl_alpino', 'ur_udtb', 'la_ittb', 'cs_pdt', 'el_gdt', 'no_nynorsk', 'sme_giella')                |     4      |
| ('fa_seraji', 'grc_proiel', 'sk_snk', 'it_isdt', 'fr_gsd', 'hi_hdtb', 'bg_btb', 'gl_ctg', 'cs_pdt', 'sme_giella')                 |     4      |
| ('et_edt', 'de_gsd', 'ca_ancora', 'sme_giella', 'ar_padt', 'fa_seraji', 'ru_syntagrus', 'cs_cac', 'es_ancora', 'sk_snk')          |     4      |

INFO: Showing outliers for UPOS tagging

| Subset                                                                                                                   |  Position  |
|--------------------------------------------------------------------------------------------------------------------------|------------|
| ('pt_bosque', 'bxr_bdt', 'ko_gsd', 'ja_gsd', 'sme_giella', 'fi_pud', 'el_gdt', 'sr_set', 'got_proiel', 'hy_armtdp')      |     8      |
| ('cs_pud', 'kmr_mg', 'hu_szeged', 'cu_proiel', 'fr_sequoia', 'hi_hdtb', 'sv_lines', 'ga_idt', 'el_gdt', 'sme_giella')    |     9      |
| ('sv_lines', 'he_htb', 'cu_proiel', 'kmr_mg', 'ga_idt', 'bxr_bdt', 'pt_bosque', 'it_postwita', 'sr_set', 'hy_armtdp')    |     9      |
| ('sv_pud', 'kmr_mg', 'cu_proiel', 'sme_giella', 'el_gdt', 'got_proiel', 'ga_idt', 'hu_szeged', 'gl_ctg', 'af_afribooms') |     9      |
| ('sv_lines', 'fa_seraji', 'kmr_mg', 'en_lines', 'ca_ancora', 'sr_set', 'br_keb', 'ga_idt', 'gl_ctg', 'da_ddt')           |     9      |
| ('kmr_mg', 'ja_modern', 'hy_armtdp', 'pcm_nsc', 'hsb_ufal', 'hu_szeged', 'fi_pud', 'bxr_bdt', 'en_gum', 'cs_pdt')        |     9      |
| ('cs_fictree', 'bxr_bdt', 'da_ddt', 'fr_gsd', 'sme_giella', 'ga_idt', 'en_lines', 'el_gdt', 'ja_modern', 'ru_syntagrus') |     9      |
| ('hy_armtdp', 'grc_proiel', 'fa_seraji', 'got_proiel', 'el_gdt', 'ca_ancora', 'bxr_bdt', 'sv_pud', 'sv_lines', 'kmr_mg') |     9      |
| ('fa_seraji', 'hu_szeged', 'sme_giella', 'got_proiel', 'cu_proiel', 'ro_rrt', 'sv_lines', 'ga_idt', 'cs_cac', 'da_ddt')  |     9      |
| ('bg_btb', 'ko_kaist', 'bxr_bdt', 'sme_giella', 'th_pud', 'sv_lines', 'br_keb', 'da_ddt', 'got_proiel', 'ru_syntagrus')  |     9      |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                      |  Position  |
|-----------------------------------------------------------------------------------------------------------------------------|------------|
| ('fr_sequoia', 'bxr_bdt', 'pcm_nsc', 'gl_ctg', 'fr_spoken', 'sv_pud', 'ur_udtb', 'hy_armtdp', 'sl_sst', 'sme_giella')       |     6      |
| ('uk_iu', 'got_proiel', 'sv_lines', 'sv_pud', 'pt_bosque', 'gl_ctg', 'grc_proiel', 'pcm_nsc', 'ug_udt', 'bxr_bdt')          |     6      |
| ('cs_pud', 'gl_ctg', 'uk_iu', 'pt_bosque', 'th_pud', 'ru_syntagrus', 'sv_pud', 'pcm_nsc', 'bxr_bdt', 'ro_rrt')              |     6      |
| ('pcm_nsc', 'hr_set', 'es_ancora', 'sv_pud', 'it_postwita', 'ca_ancora', 'fr_gsd', 'gl_ctg', 'ja_modern', 'bxr_bdt')        |     6      |
| ('pcm_nsc', 'ru_taiga', 'ja_modern', 'sv_pud', 'cs_cac', 'bxr_bdt', 'ug_udt', 'gl_ctg', 'lv_lvtb', 'cu_proiel')             |     6      |
| ('sv_pud', 'no_nynorsk', 'bg_btb', 'no_nynorsklia', 'pcm_nsc', 'pt_bosque', 'bxr_bdt', 'gl_treegal', 'gl_ctg', 'lv_lvtb')   |     6      |
| ('bxr_bdt', 'ca_ancora', 'cs_pdt', 'et_edt', 'sv_pud', 'fi_ftb', 'gl_ctg', 'fr_gsd', 'pcm_nsc', 'la_proiel')                |     6      |
| ('sme_giella', 'no_bokmaal', 'sv_talbanken', 'bxr_bdt', 'hy_armtdp', 'pcm_nsc', 'cs_pdt', 'gl_ctg', 'sv_pud', 'no_nynorsk') |     6      |
| ('el_gdt', 'fr_spoken', 'bxr_bdt', 'nl_lassysmall', 'gl_ctg', 'en_ewt', 'ru_taiga', 'sv_pud', 'fr_gsd', 'pcm_nsc')          |     6      |
