INFO: Obtaining the 10 best outliers for parser BOUN (İstanbul) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                              |  Position  |
| ('ja_modern', 'kmr_mg', 'ko_kaist', 'ru_syntagrus', 'hy_armtdp', 'fro_srcmf', 'bxr_bdt', 'hsb_ufal', 'no_bokmaal', 'cs_pud')   |     10     |
| ('ug_udt', 'id_gsd', 'pt_bosque', 'got_proiel', 'ca_ancora', 'ga_idt', 'tr_imst', 'no_nynorsk', 'sme_giella', 'grc_proiel')    |     10     |
| ('no_nynorsklia', 'ja_modern', 'kmr_mg', 'nl_alpino', 'et_edt', 'hsb_ufal', 'hy_armtdp', 'hi_hdtb', 'bxr_bdt', 'ru_syntagrus') |     11     |
| ('gl_treegal', 'kmr_mg', 'pt_bosque', 'cs_pud', 'en_pud', 'bxr_bdt', 'cs_cac', 'sk_snk', 'id_gsd', 'la_ittb')                  |     11     |

INFO: Showing outliers for XPOS tagging

| Subset                                                                                                                  |  Position  |
|-------------------------------------------------------------------------------------------------------------------------|------------|
| ('grc_proiel', 'pcm_nsc', 'fi_pud', 'cs_pud', 'it_postwita', 'sk_snk', 'ru_taiga', 'en_pud', 'bxr_bdt', 'sv_pud')       |     3      |
| ('pcm_nsc', 'el_gdt', 'no_bokmaal', 'sv_pud', 'bxr_bdt', 'hy_armtdp', 'en_ewt', 'ca_ancora', 'sk_snk', 'gl_ctg')        |     3      |
| ('af_afribooms', 'sl_sst', 'pcm_nsc', 'th_pud', 'pt_bosque', 'bxr_bdt', 'hr_set', 'hy_armtdp', 'sv_pud', 'ro_rrt')      |     3      |
| ('grc_perseus', 'pcm_nsc', 'no_nynorsk', 'la_ittb', 'gl_ctg', 'sv_pud', 'hsb_ufal', 'ko_kaist', 'bxr_bdt', 'el_gdt')    |     3      |
| ('hy_armtdp', 'pcm_nsc', 'ga_idt', 'nl_lassysmall', 'fi_pud', 'bxr_bdt', 'el_gdt', 'no_nynorsklia', 'ro_rrt', 'sv_pud') |     3      |
| ('it_postwita', 'gl_ctg', 'pcm_nsc', 'sv_pud', 'fa_seraji', 'ro_rrt', 'no_bokmaal', 'en_gum', 'bxr_bdt', 'bg_btb')      |     3      |
| ('ar_padt', 'sv_pud', 'kmr_mg', 'en_ewt', 'bxr_bdt', 'ga_idt', 'ca_ancora', 'pcm_nsc', 'no_nynorsklia', 'fi_pud')       |     3      |
| ('sv_pud', 'fi_pud', 'sme_giella', 'bxr_bdt', 'pcm_nsc', 'sl_sst', 'hu_szeged', 'it_isdt', 'ro_rrt', 'bg_btb')          |     3      |
| ('et_edt', 'hu_szeged', 'sl_sst', 'ca_ancora', 'bxr_bdt', 'ga_idt', 'sv_pud', 'pcm_nsc', 'no_nynorsklia', 'gl_ctg')     |     3      |
| ('id_gsd', 'la_perseus', 'kmr_mg', 'sv_pud', 'la_ittb', 'cs_pdt', 'bxr_bdt', 'sl_sst', 'fo_oft', 'pcm_nsc')             |     3      |

INFO: Showing outliers for Morphological features

| Subset                                                                                                                           |  Position  |
|----------------------------------------------------------------------------------------------------------------------------------|------------|
| ('cu_proiel', 'tr_imst', 'sme_giella', 'pcm_nsc', 'kmr_mg', 'hsb_ufal', 'fr_spoken', 'cs_pdt', 'hy_armtdp', 'ko_gsd')            |     4      |
| ('hsb_ufal', 'sr_set', 'hy_armtdp', 'fro_srcmf', 'kmr_mg', 'pcm_nsc', 'ko_gsd', 'no_nynorsklia', 'en_ewt', 'grc_perseus')        |     4      |
| ('ca_ancora', 'pcm_nsc', 'hy_armtdp', 'no_nynorsklia', 'pt_bosque', 'ru_syntagrus', 'gl_ctg', 'he_htb', 'kmr_mg', 'en_pud')      |     4      |
| ('hsb_ufal', 'la_proiel', 'es_ancora', 'gl_ctg', 'hy_armtdp', 'bg_btb', 'fro_srcmf', 'kk_ktb', 'pcm_nsc', 'fr_spoken')           |     5      |
| ('sv_lines', 'hy_armtdp', 'kmr_mg', 'kk_ktb', 'grc_proiel', 'ro_rrt', 'en_gum', 'eu_bdt', 'pcm_nsc', 'en_pud')                   |     5      |
| ('tr_imst', 'es_ancora', 'pt_bosque', 'fro_srcmf', 'sme_giella', 'bxr_bdt', 'af_afribooms', 'pcm_nsc', 'hsb_ufal', 'no_nynorsk') |     5      |
| ('hsb_ufal', 'got_proiel', 'fr_spoken', 'es_ancora', 'hy_armtdp', 'en_lines', 'kk_ktb', 'sr_set', 'gl_ctg', 'kmr_mg')            |     5      |
| ('ko_gsd', 'fro_srcmf', 'ro_rrt', 'ko_kaist', 'en_ewt', 'hy_armtdp', 'pcm_nsc', 'kmr_mg', 'fi_ftb', 'fr_spoken')                 |     5      |
| ('hy_armtdp', 'cu_proiel', 'it_postwita', 'pcm_nsc', 'es_ancora', 'fro_srcmf', 'hu_szeged', 'ko_gsd', 'got_proiel', 'fa_seraji') |     5      |
| ('he_htb', 'got_proiel', 'kmr_mg', 'sme_giella', 'pcm_nsc', 'es_ancora', 'et_edt', 'hu_szeged', 'hy_armtdp', 'ro_rrt')           |     5      |

INFO: Showing outliers for All morphological tags

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
