INFO: Obtaining the 10 worst outliers for parser SLT-Interactions (Bengaluru) in subsets of size 10 for a sampling size of 1000000
INFO: Showing outliers for Labeled Attachment Score (LAS)

| Subset                                                                                                                            |  Position  |
| ('fi_pud', 'pt_bosque', 'br_keb', 'ru_taiga', 'ko_kaist', 'eu_bdt', 'fr_sequoia', 'ja_gsd', 'zh_gsd', 'en_lines')         |     23     |
| ('no_nynorsklia', 'zh_gsd', 'ur_udtb', 'fi_pud', 'cs_pdt', 'pt_bosque', 'he_htb', 'tr_imst', 'af_afribooms', 'ja_modern') |     22     |

INFO: Showing outliers for Morphological features

| Subset                                                                                                                     |  Position  |
|----------------------------------------------------------------------------------------------------------------------------|------------|
| ('zh_gsd', 'hi_hdtb', 'it_isdt', 'got_proiel', 'fr_spoken', 'la_ittb', 'fa_seraji', 'id_gsd', 'es_ancora', 'fro_srcmf')    |     24     |
| ('fro_srcmf', 'la_ittb', 'fr_sequoia', 'hi_hdtb', 'zh_gsd', 'id_gsd', 'fa_seraji', 'ru_taiga', 'es_ancora', 'grc_perseus') |     24     |
| ('zh_gsd', 'fa_seraji', 'id_gsd', 'hy_armtdp', 'sl_sst', 'got_proiel', 'pl_sz', 'fr_sequoia', 'fro_srcmf', 'hu_szeged')    |     24     |
| ('hsb_ufal', 'grc_perseus', 'ja_gsd', 'ko_gsd', 'fr_gsd', 'ko_kaist', 'zh_gsd', 'ca_ancora', 'vi_vtb', 'en_gum')           |     24     |
| ('sl_sst', 'ca_ancora', 'id_gsd', 'ko_kaist', 'got_proiel', 'cs_fictree', 'zh_gsd', 'vi_vtb', 'la_ittb', 'grc_perseus')    |     24     |
| ('id_gsd', 'grc_perseus', 'fr_gsd', 'fr_sequoia', 'zh_gsd', 'la_proiel', 'fr_spoken', 'cs_fictree', 'da_ddt', 'vi_vtb')    |     24     |
| ('he_htb', 'bg_btb', 'zh_gsd', 'fr_spoken', 'ru_taiga', 'grc_perseus', 'id_gsd', 'la_ittb', 'eu_bdt', 'tr_imst')           |     24     |
| ('pl_sz', 'da_ddt', 'ca_ancora', 'tr_imst', 'zh_gsd', 'bg_btb', 'hy_armtdp', 'fr_spoken', 'ur_udtb', 'grc_proiel')         |     24     |
| ('ko_kaist', 'zh_gsd', 'ca_ancora', 'es_ancora', 'sl_sst', 'id_gsd', 'grc_perseus', 'ru_taiga', 'de_gsd', 'fro_srcmf')     |     24     |
| ('ko_gsd', 'grc_proiel', 'la_ittb', 'zh_gsd', 'fa_seraji', 'fr_gsd', 'da_ddt', 'grc_perseus', 'eu_bdt', 'ca_ancora')       |     24     |

INFO: Showing outliers for All morphological tags

| Subset                                                                                                                    |  Position  |
|---------------------------------------------------------------------------------------------------------------------------|------------|
| ('hr_set', 'hy_armtdp', 'zh_gsd', 'fo_oft', 'ko_gsd', 'kk_ktb', 'ru_taiga', 'br_keb', 'fi_pud', 'da_ddt')                 |     23     |
| ('ru_taiga', 'hy_armtdp', 'zh_gsd', 'pl_lfg', 'fr_gsd', 'kmr_mg', 'eu_bdt', 'bxr_bdt', 'fi_pud', 'pcm_nsc')               |     23     |
| ('ur_udtb', 'vi_vtb', 'cs_fictree', 'cs_cac', 'got_proiel', 'ko_gsd', 'ja_modern', 'hy_armtdp', 'ru_taiga', 'sl_sst')     |     22     |
| ('af_afribooms', 'hy_armtdp', 'sl_sst', 'sr_set', 'ca_ancora', 'fr_spoken', 'zh_gsd', 'fi_pud', 'ur_udtb', 'ar_padt')     |     22     |
| ('el_gdt', 'zh_gsd', 'la_perseus', 'sr_set', 'hsb_ufal', 'cs_pdt', 'kmr_mg', 'bxr_bdt', 'fi_pud', 'vi_vtb')               |     22     |
| ('sl_sst', 'af_afribooms', 'es_ancora', 'en_ewt', 'ko_kaist', 'fo_oft', 'fro_srcmf', 'hr_set', 'hu_szeged', 'grc_proiel') |     22     |
| ('ca_ancora', 'hsb_ufal', 'it_isdt', 'zh_gsd', 'sv_lines', 'fi_pud', 'fr_sequoia', 'tr_imst', 'sk_snk', 'pt_bosque')      |     22     |
| ('fro_srcmf', 'da_ddt', 'af_afribooms', 'cs_pdt', 'fo_oft', 'br_keb', 'pt_bosque', 'fr_sequoia', 'zh_gsd', 'hi_hdtb')     |     22     |
| ('zh_gsd', 'fr_sequoia', 'sk_snk', 'hu_szeged', 'cs_fictree', 'pcm_nsc', 'ko_gsd', 'vi_vtb', 'it_isdt', 'id_gsd')         |     22     |
| ('id_gsd', 'uk_iu', 'en_ewt', 'ar_padt', 'fr_gsd', 'ja_gsd', 'hsb_ufal', 'vi_vtb', 'cs_pdt', 'zh_gsd')                    |     22     |

INFO: Showing outliers for Lemmatization

| Subset                                                                                                                          |  Position  |
|---------------------------------------------------------------------------------------------------------------------------------|------------|
| ('fr_spoken', 'th_pud', 'pl_lfg', 'pt_bosque', 'fr_sequoia', 'ur_udtb', 'hi_hdtb', 'cs_cac', 'sl_sst', 'el_gdt')                |     22     |
| ('bg_btb', 'hsb_ufal', 'hy_armtdp', 'hi_hdtb', 'fa_seraji', 'en_lines', 'fro_srcmf', 'pl_sz', 'es_ancora', 'ja_gsd')            |     22     |
| ('got_proiel', 'la_ittb', 'fro_srcmf', 'fr_sequoia', 'it_isdt', 'ur_udtb', 'hsb_ufal', 'hi_hdtb', 'en_ewt', 'sk_snk')           |     22     |
| ('hi_hdtb', 'ur_udtb', 'hsb_ufal', 'cs_pdt', 'fr_gsd', 'grc_proiel', 'ja_gsd', 'sk_snk', 'sv_lines', 'hu_szeged')               |     22     |
| ('ja_gsd', 'hu_szeged', 'en_lines', 'sk_snk', 'vi_vtb', 'hi_hdtb', 'gl_treegal', 'cs_fictree', 'sr_set', 'en_ewt')              |     22     |
| ('it_isdt', 'af_afribooms', 'ja_gsd', 'es_ancora', 'id_gsd', 'hi_hdtb', 'hsb_ufal', 'la_ittb', 'ur_udtb', 'zh_gsd')             |     22     |
| ('sl_sst', 'fr_spoken', 'cs_fictree', 'sv_lines', 'en_gum', 'af_afribooms', 'hi_hdtb', 'he_htb', 'en_ewt', 'it_isdt')           |     22     |
| ('en_gum', 'en_ewt', 'ja_gsd', 'sv_talbanken', 'hi_hdtb', 'cs_pdt', 'pt_bosque', 'nl_alpino', 'hy_armtdp', 'pl_lfg')            |     22     |
| ('af_afribooms', 'cs_pdt', 'hi_hdtb', 'sv_talbanken', 'hr_set', 'nl_lassysmall', 'bg_btb', 'nl_alpino', 'ur_udtb', 'fro_srcmf') |     22     |
| ('ca_ancora', 'ja_gsd', 'pl_sz', 'fro_srcmf', 'hi_hdtb', 'fi_ftb', 'sl_sst', 'la_proiel', 'sv_talbanken', 'hr_set')             |     22     |

INFO: Showing outliers for Sentence segmentation

| Subset                                                                                                                       |  Position  |
|------------------------------------------------------------------------------------------------------------------------------|------------|
| ('fr_sequoia', 'ja_gsd', 'et_edt', 'he_htb', 'tr_imst', 'ur_udtb', 'no_nynorsk', 'sl_sst', 'es_ancora', 'en_ewt')            |     21     |
